model,nodes,edges,elements,polygons,bonds,rigids,time
b3.s00000199__s00002398.tpn_0.json,108,137,245,31,0,1,6829379
b3.s00000207__s00001809.tpn_0.json,125,149,274,33,0,1,8336901
b3.s00000209__s00001792.tpn_0.json,90,102,192,24,0,1,5060599
b3.s00000211__s00001787.tpn_0.json,48,52,100,12,0,1,2225116
b3.s00000213__s00002690.tpn_0.json,50,57,107,13,0,1,2533173
b3.s00000215__s00002639.tpn_0.json,65,82,147,17,0,1,4287502
b3.s00000217__s00002570.tpn_0.json,93,108,201,25,0,1,6412205
b3.s00000219__s00002563.tpn_0.json,34,37,71,7,0,1,1732489
b3.s00000221__s00002545.tpn_0.json,93,105,198,26,0,1,6003406
b3.s00000223__s00002622.tpn_0.json,48,55,103,12,0,1,3132537
b3.s00000229__s00002611.tpn_0.json,32,35,67,8,0,1,2105818
b3.s00000235__s00002621.tpn_0.json,32,35,67,8,0,1,1370325
b3.s00000237__s00002663.tpn_0.json,33,36,69,8,0,1,1354890
b3.s00000237__s00002663.tpn_1.json,30,33,63,7,0,1,1626984
b3.s00000237__s00002663.tpn_2.json,63,72,135,17,0,1,3525653
b3.s00000241__s00002652.tpn_0.json,32,35,67,8,0,1,1944401
b3.s00000243__s00004463.tpn_0.json,81,94,175,21,0,1,5419971
b3.s00000245__s00005905.tpn_0.json,77,101,178,20,0,1,4281837
b3.s00000247__s00005917.tpn_0.json,100,126,226,25,0,1,7631212
b3.s00000249__s00005920.tpn_0.json,44,51,95,12,0,1,2514043
b3.s00000251__s00005947.tpn_0.json,105,148,253,29,0,1,7888364
b3.s00000253__s00005974.tpn_0.json,123,149,272,32,0,1,7963736
b3.s00000259__s00002348.tpn_0.json,110,130,240,30,0,1,7721034
b3.s00000265__s00003747.tpn_0.json,71,84,155,19,0,1,4765351
b3.s00000267__s00003764.tpn_0.json,77,100,177,22,0,1,5387621
b3.s00000267__s00003764.tpn_1.json,46,51,97,12,0,1,2804036
b3.s00000271__s00002710.tpn_0.json,208,256,464,57,0,1,16565917
b3.s00000275__s00002417.tpn_0.json,26,28,54,6,0,1,1294871
